iter	Passed	Remaining
0	11	11030
1	20	10265
2	29	9830
3	38	9694
4	47	9522
5	57	9467
6	65	9326
7	74	9294
8	83	9220
9	92	9205
10	101	9121
11	110	9131
12	121	9221
13	130	9197
14	139	9166
15	148	9147
16	157	9117
17	166	9062
18	174	9025
19	183	8983
20	191	8937
21	201	8958
22	210	8961
23	219	8927
24	228	8893
25	236	8862
26	244	8828
27	254	8823
28	262	8794
29	271	8787
30	280	8762
31	288	8729
32	297	8704
33	305	8675
34	314	8662
35	322	8637
36	331	8634
37	340	8612
38	348	8595
39	357	8574
40	366	8563
41	374	8543
42	383	8537
43	392	8519
44	401	8530
45	413	8578
46	425	8627
47	437	8677
48	449	8732
49	460	8755
50	470	8761
51	480	8768
52	492	8798
53	502	8801
54	512	8799
55	520	8779
56	529	8765
57	538	8745
58	547	8729
59	555	8707
60	564	8689
61	572	8661
62	580	8641
63	589	8615
64	597	8588
65	606	8579
66	615	8572
67	623	8549
68	631	8524
69	640	8508
70	648	8487
71	656	8466
72	665	8447
73	673	8430
74	681	8406
75	689	8387
76	697	8364
77	706	8349
78	714	8328
79	722	8310
80	730	8293
81	738	8272
82	747	8261
83	756	8247
84	764	8228
85	772	8212
86	780	8191
87	788	8173
88	796	8154
89	805	8146
90	814	8137
91	823	8124
92	831	8109
93	839	8091
94	847	8072
95	855	8054
96	863	8038
97	871	8022
98	879	8005
99	888	7992
100	896	7980
101	904	7964
102	917	7990
103	926	7980
104	935	7970
105	944	7968
106	953	7960
107	963	7954
108	973	7958
109	985	7977
110	995	7976
111	1006	7980
112	1018	7994
113	1029	7999
114	1039	8001
115	1050	8001
116	1059	7999
117	1069	7992
118	1077	7975
119	1085	7963
120	1093	7946
121	1102	7931
122	1110	7915
123	1118	7901
124	1126	7886
125	1134	7871
126	1142	7854
127	1150	7839
128	1158	7824
129	1167	7810
130	1175	7796
131	1183	7780
132	1191	7768
133	1200	7755
134	1212	7770
135	1221	7758
136	1229	7742
137	1237	7727
138	1245	7712
139	1253	7698
140	1261	7686
141	1269	7671
142	1277	7657
143	1285	7642
144	1293	7628
145	1301	7613
146	1309	7598
147	1317	7582
148	1325	7569
149	1333	7555
150	1341	7544
151	1349	7529
152	1357	7515
153	1365	7500
154	1373	7487
155	1381	7475
156	1389	7462
157	1397	7449
158	1406	7438
159	1414	7426
160	1424	7423
161	1432	7411
