iter	MultiClass
0	1.8097617
1	1.712205785
2	1.650683771
3	1.624020512
4	1.593579097
5	1.576613286
6	1.566015208
7	1.553863155
8	1.548361021
9	1.541643588
10	1.538101046
11	1.530731028
12	1.522564967
13	1.515888918
14	1.510566341
15	1.506462074
16	1.503023873
17	1.496276575
18	1.4848854
19	1.476076183
20	1.471641832
21	1.464188953
22	1.458743597
23	1.452349945
24	1.445906944
25	1.441310481
26	1.435908584
27	1.432324602
28	1.428004375
29	1.423423383
30	1.417541763
31	1.410948244
32	1.406221067
33	1.402721199
34	1.397337068
35	1.394136794
36	1.39199549
37	1.389786111
38	1.386280067
39	1.384056396
40	1.381721367
41	1.37922199
42	1.376414454
43	1.372890253
44	1.371239173
45	1.366733758
46	1.365406373
47	1.363063291
48	1.360732633
49	1.358892613
