iter	Passed	Remaining
0	399	19599
1	770	18488
2	1156	18119
3	1528	17572
4	1890	17012
5	2244	16462
6	2607	16014
7	2976	15627
8	3348	15253
9	3710	14842
10	4067	14419
11	4439	14057
12	4794	13646
13	5181	13324
14	5538	12922
15	5889	12514
16	6230	12094
17	6580	11698
18	6945	11332
19	7306	10959
20	7700	10633
21	8101	10310
22	8477	9952
23	8845	9582
24	9252	9252
25	9634	8893
26	10026	8540
27	10400	8171
28	10798	7819
29	11189	7459
30	11565	7088
31	11949	6721
32	12341	6357
33	12742	5996
34	13149	5635
35	13637	5303
36	14027	4928
37	14400	4547
38	14776	4167
39	15189	3797
40	15576	3419
41	15981	3044
42	16380	2666
43	16783	2288
44	17204	1911
45	17618	1532
46	18080	1154
47	18503	770
48	18882	385
49	19274	0
